code,name,type,level,parent_code
7,COSTOS DE PRODUCCIÓN O DE OPERACIÓN,ProductionCost,1,
71,Materia prima,ProductionCost,2,7
72,Mano de obra directa,ProductionCost,2,7
73,Costos indirectos,ProductionCost,2,7
74,Contratos de servicios,ProductionCost,2,7
8,CUENTAS DE ORDEN DEUDORAS,OrderDebit,1,
81,Derechos contingentes,OrderDebit,2,8
8105,Bienes y valores entregados en custodia,OrderDebit,3,81
810505,Valores mobiliarios,OrderDebit,4,8105
810510,Bienes muebles,OrderDebit,4,8105
810599,Ajustes por inflación,OrderDebit,4,8105
8110,Bienes y valores entregados en garantía,OrderDebit,3,81
811005,Valores mobiliarios,OrderDebit,4,8110
811010,Bienes muebles,OrderDebit,4,8110
811015,Bienes inmuebles,OrderDebit,4,8110
811020,Contratos de ganado en participación,OrderDebit,4,8110
811099,Ajustes por inflación,OrderDebit,4,8110
8115,Bienes y valores en poder de terceros,OrderDebit,3,81
811505,En arrendamiento,OrderDebit,4,8115
811510,En préstamo,OrderDebit,4,8115
811515,En depósito,OrderDebit,4,8115
811520,En consignación,OrderDebit,4,8115
811599,Ajustes por inflación,OrderDebit,4,8115
8120,Litigios y/o demandas,OrderDebit,3,81
812005,Ejecutivos,OrderDebit,4,8120
812010,Incumplimiento de contratos,OrderDebit,4,8120
8125,Promesas de compraventa,OrderDebit,3,81
8195,Diversas,OrderDebit,3,81
819505,Valores adquiridos por recibir,OrderDebit,4,8195
819595,Otras,OrderDebit,4,8195
819599,Ajustes por inflación,OrderDebit,4,8195
82,Deudoras fiscales,OrderDebit,2,8
83,Deudoras de control,OrderDebit,2,8
8305,Bienes recibidos en arrendamiento financiero,OrderDebit,3,83
830505,Bienes muebles,OrderDebit,4,8305
830510,Bienes inmuebles,OrderDebit,4,8305
830599,Ajustes por inflación,OrderDebit,4,8305
8310,Títulos de inversión no colocados,OrderDebit,3,83
831005,Acciones,OrderDebit,4,8310
831010,Bonos,OrderDebit,4,8310
831095,Otros,OrderDebit,4,8310
8315,"Propiedades planta y equipo totalmente depreciados, agotados y/o amortizados",OrderDebit,3,83
831506,Materiales proyectos petroleros,OrderDebit,4,8315
831516,Construcciones y edificaciones,OrderDebit,4,8315
831520,Maquinaria y equipo,OrderDebit,4,8315
831524,Equipo de oficina,OrderDebit,4,8315
